metric,baseline,normalize_only,delta,delta_ratio
entity_vocabulary_count,29445.0,28835.0,-610.0,-0.020716590253014096
high_df_entity_count,47.0,48.0,1.0,0.02127659574468085
train_event_count,9186.0,9148.0,-38.0,-0.004136729806226867
train_singleton_event_count,8896.0,8843.0,-53.0,-0.0059577338129496405
train_singleton_event_ratio,0.9684302198998476,0.9666593790992567,-0.0017708408005908671,-0.0018285682997108482
train_multi_article_event_count,290.0,305.0,15.0,0.05172413793103448
train_mean_event_size,1.0600914435009798,1.064494971578487,0.004403528077507213,0.00415391342369904
train_median_event_size,1.0,1.0,0.0,0.0
train_max_event_size,36.0,39.0,3.0,0.08333333333333333
final_event_count,12186.0,12149.0,-37.0,-0.003036271130805843
new_validation_event_count,3000.0,3001.0,1.0,0.0003333333333333333
matched_existing_event_count,122.0,121.0,-1.0,-0.00819672131147541
matched_train_origin_event_count,31.0,32.0,1.0,0.03225806451612903
matched_validation_origin_event_count,91.0,89.0,-2.0,-0.02197802197802198
added_cocluster_article_pair_count,0.0,415.0,415.0,
removed_cocluster_article_pair_count,0.0,64.0,64.0,
new_merge_or_reconfigured_event_count,0.0,38.0,38.0,
split_or_reconfigured_event_count,0.0,9.0,9.0,
