metric,baseline,normalize_only,delta,delta_ratio
entity_vocabulary_count,28835.0,28808.0,-27.0,-0.000936362059996532
high_df_entity_count,48.0,48.0,0.0,0.0
train_event_count,9148.0,9145.0,-3.0,-0.00032794053344993443
train_singleton_event_count,8843.0,8839.0,-4.0,-0.00045233518036865317
train_singleton_event_ratio,0.9666593790992567,0.9665390924002187,-0.00012028669903796363,-0.00012443545434799176
train_multi_article_event_count,305.0,306.0,1.0,0.003278688524590164
train_mean_event_size,1.064494971578487,1.0648441771459813,0.0003492055674942929,0.0003280481137233304
train_median_event_size,1.0,1.0,0.0,0.0
train_max_event_size,39.0,39.0,0.0,0.0
final_event_count,12149.0,12146.0,-3.0,-0.0002469339040250226
new_validation_event_count,3001.0,3001.0,0.0,0.0
matched_existing_event_count,121.0,121.0,0.0,0.0
matched_train_origin_event_count,32.0,32.0,0.0,0.0
matched_validation_origin_event_count,89.0,89.0,0.0,0.0
added_cocluster_article_pair_count,0.0,28.0,28.0,
removed_cocluster_article_pair_count,0.0,0.0,0.0,
new_merge_or_reconfigured_event_count,0.0,2.0,2.0,
split_or_reconfigured_event_count,0.0,0.0,0.0,
