metric,value
total_article_count,20738
baseline_train_article_count,9738
total_entity_mention_count,146813
train_entity_mention_count,76588
total_unique_train_entity_count,29445
df1_entity_count,21894
df1_entity_ratio,0.743555781966378
df1_mention_count,22484
df1_mention_ratio,0.2935707943803207
token_containment_pair_count,15272
token_containment_participating_entity_count,14186
token_containment_participating_entity_ratio,0.48177958906435725
containment_cooccurrence_pair_count,26
containment_cooccurrence_pair_ratio,0.0017024620220010478
cross_type_surface_count,1760
cross_type_surface_ratio,0.06455162295983861
possessive_candidate_count,1102
